APPLICATION_NUMBER,APPLICATION_DATE,CUSTOMER_TYPE,CALCULATION_TYPE,CUSTOMER_DOB,CUSTOMER_AGE,CO_APPLICANT_DOB,CO_APPLICANT_AGE,FINANCE_AMOUNT,TENURE_IN_MONTH,TENURE_IN_YEAR,PARTIAL_FINANCE_AMOUNT,PARTIAL_TENURE,PREMIUM,CREATED_ON
25156740943,2025-05-30,CUSTOMER,FULL,1992-07-31,32,NULL,-1,980000,60,5,0,0,14201,"2025-06-05 11:17:15"
7809073202,2025-06-04,CUSTOMER,FULL,1985-04-18,40,1979-09-02,45,320000,36,3,0,0,4962,"2025-06-05 11:17:13"
25157315849,2025-06-05,CUSTOMER,FULL,2001-06-12,23,1965-06-25,59,900000,36,3,0,0,7923,"2025-06-05 11:17:12"
7809015380,2025-05-26,CUSTOMER,FULL,1990-03-13,35,1987-05-15,38,370000,55,5,0,0,5934,"2025-06-05 11:16:26"
25157295624,2025-06-04,CUSTOMER,FULL,1969-07-01,55,2000-05-13,25,450000,24,2,0,0,21904,"2025-06-05 11:16:13"
7808499976,2025-06-05,CUSTOMER,FULL,1969-01-01,56,1989-08-10,35,185000,36,3,0,0,11791,"2025-06-05 11:15:56"
25156755920,2025-05-31,CUSTOMER,FULL,2004-03-17,21,1977-01-01,48,543000,48,4,0,0,5780,"2025-06-05 11:15:51"
7809007046,2025-06-05,CUSTOMER,FULL,1996-10-20,28,NULL,0,550000,48,4,0,0,5939,"2025-06-05 11:15:28"
7808694850,2025-06-04,CUSTOMER,FULL,1992-04-20,33,NULL,-1,70000,12,1,0,0,553,"2025-06-05 11:15:25"
25156756630,2025-05-31,CO-APPLICANT,FULL,1965-01-01,60,1995-01-01,30,2200000,60,5,0,0,29673,"2025-06-05 11:15:21"
8800200951,2025-06-05,CUSTOMER,FULL,1988-06-01,37,NULL,0,1500000,60,5,0,0,25896,"2025-06-05 11:15:03"
25157291884,2025-06-03,CUSTOMER,FULL,2000-02-02,25,1975-12-15,49,490000,23,2,0,0,3412,"2025-06-05 11:15:02"
7808958157,2025-06-04,CUSTOMER,FULL,2000-04-27,25,NULL,-1,250000,24,2,0,0,1711,"2025-06-05 11:15:00"
25157314238,2025-06-05,CUSTOMER,FULL,1995-01-01,30,NULL,0,660000,60,5,0,0,8902,"2025-06-05 11:14:58"
25156782772,2025-06-03,CUSTOMER,FULL,1991-10-06,33,NULL,-1,400000,36,3,0,0,4135,"2025-06-05 11:14:37"
25157014304,2025-06-03,CUSTOMER,FULL,2001-07-06,23,1979-02-02,46,493500,47,4,0,0,4618,"2025-06-05 11:14:35"
7809000540,2025-06-04,CUSTOMER,FULL,2000-06-01,25,1974-06-01,51,330000,30,3,0,0,2913,"2025-06-05 11:14:18"
25155592597,2025-04-22,CUSTOMER,FULL,1992-11-23,32,1972-01-01,53,450000,48,4,0,0,5385,"2025-06-05 11:14:11"
7809035443,2025-06-03,CUSTOMER,FULL,1999-08-13,25,1992-06-07,32,80000,12,1,0,0,583,"2025-06-05 11:14:08"
25157310769,2025-06-04,CUSTOMER,FULL,1985-06-13,39,NULL,-1,600000,60,5,0,0,13006,"2025-06-05 11:14:00"
25157317379,2025-06-05,CUSTOMER,FULL,1989-02-01,36,NULL,0,500000,60,5,0,0,8479,"2025-06-05 11:13:55"
25157312936,2025-06-04,CUSTOMER,FULL,1988-01-01,37,1985-11-20,39,990000,60,5,0,0,18750,"2025-06-05 11:13:52"
25156418125,2025-05-23,CUSTOMER,FULL,1974-06-15,50,1971-05-19,54,700000,72,6,0,0,47074,"2025-06-05 11:13:41"
25156770565,2025-06-02,CO-APPLICANT,FULL,1979-09-07,45,1988-03-10,37,540000,48,4,0,0,8526,"2025-06-05 11:13:37"
7808943161,2025-06-03,CUSTOMER,FULL,1989-12-15,35,NULL,-1,580000,42,4,0,0,7912,"2025-06-05 11:13:13"
7808225037,2025-06-03,CUSTOMER,FULL,1999-04-20,26,1969-05-15,56,700000,48,4,0,0,7459,"2025-06-05 11:13:04"
7808992231,2025-06-05,CUSTOMER,FULL,1996-12-25,28,NULL,0,350000,36,3,0,0,3131,"2025-06-05 11:12:58"
25156427014,2025-05-24,CUSTOMER,FULL,2002-01-01,23,NULL,-1,620000,54,5,0,0,7741,"2025-06-05 11:12:55"
8800184651,2025-06-05,CUSTOMER,FULL,1998-08-06,26,NULL,0,500000,36,3,0,0,4455,"2025-06-05 11:12:51"
